"Bug ID","Product","Component","Version","Opened"
27976,"JDT","UI","2.0.2","2002-12-09 15:20:19"
29652,"JDT","Core","2.0.2","2003-01-16 13:42:05"
25707,"JDT","UI","2.0.2","2002-11-04 19:05:51"
24750,"JDT","Debug","2.0.2","2002-10-14 10:56:20"
33439,"JDT","UI","2.0.2","2003-02-27 09:51:54"
28945,"JDT","Debug","2.0.2","2003-01-02 10:05:14"
25110,"JDT","Text","2.0.2","2002-10-21 02:05:15"
31942,"JDT","Core","2.0.2","2003-02-15 11:11:48"
466113,"JDT","Core","2.0.2","2015-05-01 21:53:18"
34785,"JDT","Debug","2.0.2","2003-03-11 22:47:43"
32588,"JDT","Core","2.0.2","2003-02-23 12:03:48"
24923,"JDT","Debug","2.0.2","2002-10-17 06:33:04"
30357,"JDT","Core","2.0.2","2003-01-28 03:48:33"
28887,"JDT","Debug","2.0.2","2002-12-27 14:59:54"
37072,"JDT","Debug","2.0.2","2003-04-29 17:30:59"
31626,"JDT","Core","2.0.2","2003-02-11 22:20:59"
29574,"JDT","UI","2.0.2","2003-01-15 16:04:43"
39315,"JDT","Core","2.0.2","2003-06-25 07:28:02"
23586,"JDT","Core","2.0.2","2002-09-14 17:28:39"
24403,"JDT","Core","2.0.2","2002-10-04 13:07:09"
25470,"JDT","UI","2.0.2","2002-10-28 16:36:21"
26941,"JDT","UI","2.0.2","2002-11-22 09:42:34"
24860,"JDT","UI","2.0.2","2002-10-16 15:40:52"
25357,"JDT","UI","2.0.2","2002-10-24 17:28:10"
27966,"JDT","UI","2.0.2","2002-12-09 14:33:17"
27799,"JDT","Debug","2.0.2","2002-12-05 16:39:52"
26478,"JDT","UI","2.0.2","2002-11-15 09:55:15"
25230,"JDT","Debug","2.0.2","2002-10-23 05:24:24"
28037,"JDT","Debug","2.0.2","2002-12-10 13:25:46"
24827,"JDT","UI","2.0.2","2002-10-16 09:15:11"
30739,"JDT","Core","2.0.2","2003-01-31 14:37:56"
24021,"JDT","UI","2.0.2","2002-09-24 08:51:31"
27654,"JDT","Debug","2.0.2","2002-12-04 07:55:23"
30773,"JDT","Debug","2.0.2","2003-02-01 18:37:39"
26652,"JDT","Core","2.0.2","2002-11-19 06:27:07"
34157,"JDT","UI","2.0.2","2003-03-07 16:31:56"
25025,"JDT","UI","2.0.2","2002-10-17 16:13:13"
25204,"JDT","Core","2.0.2","2002-10-22 12:48:50"
32541,"JDT","UI","2.0.2","2003-02-22 01:47:28"
31348,"JDT","Debug","2.0.2","2003-02-07 12:23:23"
34823,"JDT","Core","2.0.2","2003-03-12 10:52:44"
25502,"JDT","UI","2.0.2","2002-10-29 12:24:29"
39495,"JDT","Core","2.0.2","2003-07-01 02:29:02"
25328,"JDT","UI","2.0.2","2002-10-24 11:06:11"
24584,"JDT","UI","2.0.2","2002-10-09 11:44:21"
33468,"JDT","Debug","2.0.2","2003-02-27 13:30:05"
24093,"JDT","Core","2.0.2","2002-09-25 14:21:51"
26565,"JDT","Debug","2.0.2","2002-11-17 20:23:41"
26939,"JDT","Debug","2.0.2","2002-11-22 09:27:40"
30782,"JDT","Core","2.0.2","2003-02-02 13:44:12"
25020,"JDT","UI","2.0.2","2002-10-17 15:49:29"
27779,"JDT","Debug","2.0.2","2002-12-05 12:00:10"
32261,"JDT","Debug","2.0.2","2003-02-19 12:30:40"
23812,"JDT","Core","2.0.2","2002-09-19 04:12:16"
23900,"JDT","UI","2.0.2","2002-09-20 08:37:11"
27748,"JDT","Core","2.0.2","2002-12-05 09:14:17"
29144,"JDT","Core","2.0.2","2003-01-08 09:36:13"
33225,"JDT","Core","2.0.2","2003-02-26 06:17:01"
35093,"JDT","Core","2.0.2","2003-03-15 09:38:02"
28328,"JDT","Core","2.0.2","2002-12-14 11:00:14"
36032,"JDT","Core","2.0.2","2003-04-03 13:22:07"
24470,"JDT","Text","2.0.2","2002-10-07 14:18:07"
26384,"JDT","UI","2.0.2","2002-11-14 13:42:14"
25226,"JDT","Debug","2.0.2","2002-10-23 02:21:55"
23810,"JDT","Text","2.0.2","2002-09-19 04:06:50"
27288,"JDT","Text","2.0.2","2002-11-28 01:58:40"
28257,"JDT","Core","2.0.2","2002-12-13 08:14:27"
56163,"JDT","UI","2.0.2","2004-03-25 11:22:40"
32323,"JDT","Core","2.0.2","2003-02-20 03:33:14"
28591,"JDT","Text","2.0.2","2002-12-17 22:35:29"
27532,"JDT","Core","2.0.2","2002-12-02 16:17:45"
33953,"JDT","Debug","2.0.2","2003-03-06 06:02:05"
25482,"JDT","UI","2.0.2","2002-10-29 07:46:13"
28268,"JDT","UI","2.0.2","2002-12-13 09:45:47"
36030,"JDT","UI","2.0.2","2003-04-03 13:14:15"
24432,"JDT","Text","2.0.2","2002-10-05 23:22:13"
25605,"JDT","Core","2.0.2","2002-10-31 16:35:41"
25152,"JDT","UI","2.0.2","2002-10-21 18:19:31"
25192,"JDT","Debug","2.0.2","2002-10-22 10:20:43"
24404,"JDT","UI","2.0.2","2002-10-04 13:11:00"
25090,"JDT","Doc","2.0.2","2002-10-18 20:35:34"
29565,"JDT","Debug","2.0.2","2003-01-15 15:01:15"
36602,"JDT","Debug","2.0.2","2003-04-16 16:38:39"
34178,"JDT","UI","2.0.2","2003-03-07 23:27:26"
33990,"JDT","Core","2.0.2","2003-03-06 11:48:43"
31795,"JDT","UI","2.0.2","2003-02-13 12:54:37"
40924,"JDT","Text","2.0.2","2003-07-29 21:28:24"
31997,"JDT","Core","2.0.2","2003-02-17 07:51:10"
24487,"JDT","UI","2.0.2","2002-10-07 22:17:53"
25325,"JDT","UI","2.0.2","2002-10-24 10:58:19"
28874,"JDT","Debug","2.0.2","2002-12-26 05:51:14"
24025,"JDT","UI","2.0.2","2002-09-24 09:34:39"
26230,"JDT","Core","2.0.2","2002-11-13 18:59:01"
27497,"JDT","Core","2.0.2","2002-12-02 10:15:18"
25495,"JDT","Core","2.0.2","2002-10-29 11:24:53"
27284,"JDT","Core","2.0.2","2002-11-27 18:40:58"
25852,"JDT","Doc","2.0.2","2002-11-07 15:29:43"
27375,"JDT","UI","2.0.2","2002-11-29 03:53:30"
35582,"JDT","Text","2.0.2","2003-03-24 12:13:12"
26268,"JDT","Debug","2.0.2","2002-11-14 06:55:57"
33998,"JDT","Core","2.0.2","2003-03-06 12:38:31"
25596,"JDT","UI","2.0.2","2002-10-31 13:12:27"
26817,"JDT","Core","2.0.2","2002-11-20 17:43:48"
28625,"JDT","Core","2.0.2","2002-12-18 11:20:19"
38772,"JDT","Text","2.0.2","2003-06-11 09:54:24"
29337,"JDT","Core","2.0.2","2003-01-11 14:56:29"
37166,"JDT","Core","2.0.2","2003-05-02 08:05:33"
26754,"JDT","UI","2.0.2","2002-11-20 07:14:12"
28641,"JDT","Core","2.0.2","2002-12-18 14:06:31"
35418,"JDT","Text","2.0.2","2003-03-20 16:46:19"
34851,"JDT","Core","2.0.2","2003-03-12 14:03:33"
30635,"JDT","UI","2.0.2","2003-01-30 12:58:00"
33532,"JDT","UI","2.0.2","2003-02-28 08:04:09"
23945,"JDT","Text","2.0.2","2002-09-21 01:06:07"
23669,"JDT","Core","2.0.2","2002-09-17 14:58:10"
26269,"JDT","Text","2.0.2","2002-11-14 06:59:04"
26274,"JDT","UI","2.0.2","2002-11-14 07:56:56"
30752,"JDT","Debug","2.0.2","2003-01-31 17:04:26"
26297,"JDT","UI","2.0.2","2002-11-14 09:34:11"
23848,"JDT","Core","2.0.2","2002-09-19 11:00:13"
29190,"JDT","UI","2.0.2","2003-01-09 03:23:55"
30713,"JDT","UI","2.0.2","2003-01-31 09:49:54"
25080,"JDT","Core","2.0.2","2002-10-18 15:06:40"
25978,"JDT","Debug","2.0.2","2002-11-11 11:01:52"
26408,"JDT","UI","2.0.2","2002-11-14 14:48:40"
26833,"JDT","UI","2.0.2","2002-11-21 03:07:54"
29541,"JDT","Core","2.0.2","2003-01-15 10:35:22"
30564,"JDT","UI","2.0.2","2003-01-29 22:37:03"
23431,"JDT","Text","2.0.2","2002-09-11 15:12:14"
24720,"JDT","Debug","2.0.2","2002-10-11 16:43:23"
29933,"JDT","UI","2.0.2","2003-01-21 20:10:09"
23637,"JDT","UI","2.0.2","2002-09-17 09:03:29"
26876,"JDT","UI","2.0.2","2002-11-21 11:44:04"
27196,"JDT","Core","2.0.2","2002-11-26 16:57:52"
30579,"JDT","Debug","2.0.2","2003-01-30 03:51:12"
42404,"JDT","Core","2.0.2","2003-09-02 14:09:53"
24161,"JDT","UI","2.0.2","2002-09-26 15:29:28"
28693,"JDT","Debug","2.0.2","2002-12-19 14:50:16"
25261,"JDT","UI","2.0.2","2002-10-23 13:15:26"
27383,"JDT","Debug","2.0.2","2002-11-29 08:24:17"
26875,"JDT","UI","2.0.2","2002-11-21 11:41:18"
30240,"JDT","UI","2.0.2","2003-01-26 08:06:21"
24612,"JDT","UI","2.0.2","2002-10-10 04:44:04"
30060,"JDT","UI","2.0.2","2003-01-23 04:03:10"
25864,"JDT","UI","2.0.2","2002-11-07 17:38:12"
26272,"JDT","UI","2.0.2","2002-11-14 07:34:19"
30213,"JDT","UI","2.0.2","2003-01-24 17:30:40"
29338,"JDT","Text","2.0.2","2003-01-11 18:39:52"
27078,"JDT","Core","2.0.2","2002-11-25 07:23:24"
27910,"JDT","Core","2.0.2","2002-12-08 22:54:27"
28340,"JDT","Debug","2.0.2","2002-12-15 11:34:13"
33256,"JDT","Debug","2.0.2","2003-02-26 08:55:42"
26806,"JDT","Core","2.0.2","2002-11-20 16:06:49"
27382,"JDT","UI","2.0.2","2002-11-29 07:38:08"
26944,"JDT","UI","2.0.2","2002-11-22 09:51:47"
24057,"JDT","UI","2.0.2","2002-09-24 17:37:54"
26275,"JDT","UI","2.0.2","2002-11-14 07:59:13"
27391,"JDT","Debug","2.0.2","2002-11-29 10:17:59"
32544,"JDT","UI","2.0.2","2003-02-22 02:10:49"
23680,"JDT","UI","2.0.2","2002-09-18 01:04:01"
24299,"JDT","Debug","2.0.2","2002-10-02 03:24:56"
32542,"JDT","Text","2.0.2","2003-02-22 01:56:34"
24768,"JDT","UI","2.0.2","2002-10-14 18:16:37"
27835,"JDT","UI","2.0.2","2002-12-06 10:24:01"
57118,"JDT","UI","2.0.2","2004-04-01 16:25:29"
42403,"JDT","UI","2.0.2","2003-09-02 14:00:43"
29975,"JDT","Text","2.0.2","2003-01-22 09:33:46"
34798,"JDT","Debug","2.0.2","2003-03-12 06:31:57"
