"Bug ID","Product","Component","Changed","Opened","Version"
521629,"Firefox","General","2013-02-20 12:48:40","2009-10-11 00:15:33","3.6 Branch"
525545,"Firefox","General","2015-05-16 19:41:31","2009-10-30 14:09:46","3.6 Branch"
536224,"Firefox","Extension Compatibility","2011-06-09 14:58:50","2009-12-21 11:21:34","3.6 Branch"
539320,"Firefox","General","2014-06-19 05:58:06","2010-01-12 14:15:56","3.6 Branch"
541949,"Firefox","Security","2015-08-10 13:46:35","2010-01-25 05:00:39","3.6 Branch"
542275,"Firefox","General","2015-10-13 07:26:06","2010-01-26 10:40:26","3.6 Branch"
557207,"Firefox","Security","2015-01-25 09:13:41","2010-04-05 07:52:24","3.6 Branch"
557364,"Firefox","Extension Compatibility","2011-06-09 14:58:51","2010-04-05 15:58:26","3.6 Branch"
558826,"Firefox","Security","2013-09-02 06:35:48","2010-04-12 10:55:33","3.6 Branch"
560325,"Firefox","General","2015-10-13 07:26:22","2010-04-19 13:19:17","3.6 Branch"
566179,"Firefox","Bookmarks & History","2014-06-15 08:09:54","2010-05-16 01:34:50","3.6 Branch"
574252,"Firefox","Security","2011-02-06 20:49:25","2010-06-23 20:32:34","3.6 Branch"
574334,"Firefox","Extension Compatibility","2011-12-02 17:04:59","2010-06-24 05:53:13","3.6 Branch"
574768,"Firefox","General","2013-03-19 17:00:32","2010-06-25 12:51:20","3.6 Branch"
575384,"Firefox","File Handling","2012-08-11 07:58:44","2010-06-28 14:04:16","3.6 Branch"
582214,"Firefox","Tabbed Browser","2012-06-15 10:03:55","2010-07-27 05:23:07","3.6 Branch"
606972,"Firefox","General","2015-10-13 07:26:46","2010-10-25 08:11:15","3.6 Branch"
607259,"Firefox","General","2014-10-12 13:39:34","2010-10-26 02:34:46","3.6 Branch"
607895,"Firefox","Location Bar","2014-10-11 17:39:28","2010-10-28 01:08:51","3.6 Branch"
642331,"Firefox","Extension Compatibility","2011-06-09 14:58:56","2011-03-16 17:32:27","3.6 Branch"
642844,"Firefox","Extension Compatibility","2011-06-09 14:58:56","2011-03-18 09:29:14","3.6 Branch"
643481,"Firefox","Extension Compatibility","2011-03-21 12:23:55","2011-03-21 10:52:45","3.6 Branch"
646567,"Firefox","Extension Compatibility","2011-06-09 14:58:57","2011-03-30 11:36:02","3.6 Branch"
648922,"Firefox","General","2012-06-03 15:32:24","2011-04-10 18:01:49","3.6 Branch"
426044,"Firefox","File Handling","2013-10-30 01:16:32","2008-03-30 06:49:33","3.6 Branch"
489265,"Firefox","File Handling","2010-07-08 09:25:24","2009-04-20 16:33:06","3.6 Branch"
509417,"Firefox","General","2011-09-02 02:36:29","2009-08-10 08:50:03","3.6 Branch"
515327,"Firefox","File Handling","2012-06-15 16:13:16","2009-09-09 02:34:55","3.6 Branch"
530339,"Firefox","Extension Compatibility","2011-02-12 22:10:42","2009-11-21 15:52:24","3.6 Branch"
536755,"Firefox","Extension Compatibility","2012-02-21 09:39:59","2009-12-25 13:26:15","3.6 Branch"
540993,"Firefox","Extension Compatibility","2012-06-15 15:28:43","2010-01-20 17:26:42","3.6 Branch"
541972,"Firefox","General","2010-09-23 14:44:26","2010-01-25 07:01:19","3.6 Branch"
542232,"Firefox","General","2011-05-14 18:49:14","2010-01-26 08:08:38","3.6 Branch"
