"Bug ID","Product","Component","Changed","Opened","Version"
670181,"Firefox","General","2011-07-08 10:42:07","2011-07-08 10:42:07","7 Branch"
689738,"Firefox","Extension Compatibility","2015-10-13 07:28:09","2011-09-27 14:18:03","7 Branch"
690877,"Firefox","Extension Compatibility","2015-10-13 07:28:09","2011-09-30 12:27:58","7 Branch"
696204,"Firefox","Extension Compatibility","2011-11-04 07:16:36","2011-10-20 13:48:52","7 Branch"
696336,"Firefox","Security","2015-01-26 05:52:06","2011-10-21 01:27:46","7 Branch"
455875,"Firefox","General","2012-01-19 14:30:07","2008-09-18 07:24:38","7 Branch"
673824,"Firefox","Shell Integration","2012-01-02 13:14:42","2011-07-24 17:17:51","7 Branch"
675480,"Firefox","General","2013-03-26 10:55:55","2011-07-30 22:59:35","7 Branch"
694588,"Firefox","General","2015-07-14 03:27:18","2011-10-14 09:39:34","7 Branch"
697854,"Firefox","General","2013-10-13 10:48:51","2011-10-27 15:09:04","7 Branch"
490334,"Firefox","Disability Access","2015-09-18 02:45:35","2009-04-27 11:24:09","7 Branch"
533453,"Firefox","General","2011-08-27 15:04:04","2009-12-08 06:24:37","7 Branch"
643012,"Firefox","Toolbars and Customization","2014-09-03 14:43:08","2011-03-18 15:26:14","7 Branch"
663704,"Firefox","General","2011-09-13 16:30:45","2011-06-12 08:30:53","7 Branch"
670027,"Firefox","General","2011-08-23 16:47:21","2011-07-07 15:19:33","7 Branch"
670340,"Firefox","General","2011-07-09 10:22:45","2011-07-09 04:30:40","7 Branch"
670598,"Firefox","General","2011-07-10 23:09:51","2011-07-10 23:06:34","7 Branch"
671845,"Firefox","Toolbars and Customization","2011-07-15 07:25:41","2011-07-15 07:25:17","7 Branch"
676278,"Firefox","Toolbars and Customization","2011-08-04 09:15:40","2011-08-03 09:27:21","7 Branch"
679292,"Firefox","General","2011-08-16 00:44:35","2011-08-16 00:44:35","7 Branch"
679946,"Firefox","General","2011-09-20 13:50:42","2011-08-17 17:14:22","7 Branch"
680972,"Firefox","Location Bar","2013-09-20 14:09:26","2011-08-22 11:03:12","7 Branch"
681215,"Firefox","General","2011-08-23 15:53:05","2011-08-23 03:07:13","7 Branch"
685105,"Firefox","General","2011-09-26 00:12:36","2011-09-07 02:38:19","7 Branch"
686156,"Firefox","General","2012-10-17 10:20:38","2011-09-10 13:56:31","7 Branch"
687474,"Firefox","General","2011-09-19 10:29:26","2011-09-19 08:47:42","7 Branch"
687542,"Firefox","General","2011-09-28 09:08:29","2011-09-19 10:58:48","7 Branch"
689586,"Firefox","General","2011-12-31 03:01:34","2011-09-27 08:19:34","7 Branch"
689867,"Firefox","General","2011-09-28 00:37:21","2011-09-28 00:37:21","7 Branch"
689949,"Firefox","General","2011-10-05 09:30:38","2011-09-28 07:57:52","7 Branch"
690040,"Firefox","General","2011-09-29 07:20:01","2011-09-28 12:20:18","7 Branch"
690079,"Firefox","Theme","2011-09-28 14:12:07","2011-09-28 14:12:07","7 Branch"
690317,"Firefox","General","2014-10-29 11:21:51","2011-09-29 05:01:24","7 Branch"
690323,"Firefox","General","2012-06-01 00:13:32","2011-09-29 05:35:23","7 Branch"
690384,"Firefox","General","2011-09-29 09:00:29","2011-09-29 09:00:29","7 Branch"
690538,"Firefox","General","2011-10-06 14:13:48","2011-09-29 14:12:44","7 Branch"
690646,"Firefox","General","2011-10-05 12:00:35","2011-09-29 20:35:38","7 Branch"
690712,"Firefox","General","2011-09-30 03:33:52","2011-09-30 03:33:52","7 Branch"
690727,"Firefox","Security","2011-10-06 14:18:52","2011-09-30 05:25:57","7 Branch"
690905,"Firefox","General","2011-09-30 13:52:10","2011-09-30 13:51:29","7 Branch"
690945,"Firefox","Menus","2011-12-01 13:07:12","2011-09-30 15:21:54","7 Branch"
691053,"Firefox","General","2011-10-01 08:25:37","2011-10-01 07:49:43","7 Branch"
691080,"Firefox","General","2011-10-01 12:08:39","2011-10-01 12:08:39","7 Branch"
691098,"Firefox","General","2011-10-01 14:50:21","2011-10-01 14:47:28","7 Branch"
691127,"Firefox","Keyboard Navigation","2011-10-06 14:27:06","2011-10-02 01:50:15","7 Branch"
691181,"Firefox","Untriaged","2015-01-26 10:08:47","2011-10-02 12:13:36","7 Branch"
691333,"Firefox","General","2011-10-03 16:14:15","2011-10-03 07:59:06","7 Branch"
691348,"Firefox","Location Bar","2013-10-29 11:32:31","2011-10-03 08:28:33","7 Branch"
691648,"Firefox","General","2015-10-07 08:07:11","2011-10-03 20:04:45","7 Branch"
691906,"Firefox","General","2011-11-29 04:16:54","2011-10-04 13:50:08","7 Branch"
691969,"Firefox","General","2011-10-04 16:20:40","2011-10-04 16:20:40","7 Branch"
692004,"Firefox","General","2012-01-08 19:01:54","2011-10-04 19:17:07","7 Branch"
692089,"Firefox","General","2012-03-29 12:50:29","2011-10-05 06:16:36","7 Branch"
692112,"Firefox","General","2013-11-27 22:23:03","2011-10-05 07:58:10","7 Branch"
692311,"Firefox","Preferences","2014-09-17 09:01:32","2011-10-05 16:04:43","7 Branch"
692389,"Firefox","General","2011-10-06 00:22:54","2011-10-06 00:17:08","7 Branch"
692476,"Firefox","General","2011-12-09 06:32:55","2011-10-06 09:05:07","7 Branch"
692482,"Firefox","General","2011-10-28 08:53:13","2011-10-06 09:24:24","7 Branch"
692491,"Firefox","General","2011-10-06 09:43:54","2011-10-06 09:38:54","7 Branch"
692702,"Firefox","Security","2014-03-25 11:51:23","2011-10-06 20:33:07","7 Branch"
692710,"Firefox","General","2011-10-07 15:20:52","2011-10-06 22:11:10","7 Branch"
692816,"Firefox","General","2011-10-07 09:31:59","2011-10-07 09:31:59","7 Branch"
692885,"Firefox","Bookmarks & History","2012-04-11 01:43:03","2011-10-07 12:24:28","7 Branch"
692905,"Firefox","General","2011-10-07 14:35:55","2011-10-07 13:09:53","7 Branch"
693024,"Firefox","General","2011-10-07 22:15:49","2011-10-07 22:15:49","7 Branch"
693058,"Firefox","Shell Integration","2015-08-07 02:48:12","2011-10-08 06:19:41","7 Branch"
693123,"Firefox","General","2011-10-09 10:02:58","2011-10-08 21:36:15","7 Branch"
