"Bug ID","Product","Component","Opened","Version"
91187,"LibreOffice","Impress","2015-05-09 15:43:18","5.0.0.0.alpha0+ Master"
92483,"LibreOffice","Installation","2015-07-01 19:02:32","5.0.0.0.alpha0+ Master"
92940,"LibreOffice","Linguistic","2015-07-26 12:32:31","5.0.0.0.alpha0+ Master"
92068,"LibreOffice","Documentation","2015-06-14 20:31:14","5.0.0.0.alpha0+ Master"
94509,"LibreOffice","UI","2015-09-25 15:13:46","5.0.0.0.alpha0+ Master"
85767,"LibreOffice","UI","2014-11-02 18:00:12","5.0.0.0.alpha0+ Master"
90964,"LibreOffice","Writer","2015-04-30 13:13:59","5.0.0.0.alpha0+ Master"
90965,"LibreOffice","UI","2015-04-30 13:17:52","5.0.0.0.alpha0+ Master"
90987,"LibreOffice","Draw","2015-05-01 09:36:02","5.0.0.0.alpha0+ Master"
91158,"LibreOffice","UI","2015-05-08 11:49:28","5.0.0.0.alpha0+ Master"
91167,"LibreOffice","Writer","2015-05-08 17:25:41","5.0.0.0.alpha0+ Master"
91250,"LibreOffice","Chart","2015-05-13 05:18:29","5.0.0.0.alpha0+ Master"
91251,"LibreOffice","Calc","2015-05-13 06:01:24","5.0.0.0.alpha0+ Master"
91310,"LibreOffice","graphics stack","2015-05-15 16:53:51","5.0.0.0.alpha0+ Master"
91329,"LibreOffice","Calc","2015-05-16 18:42:47","5.0.0.0.alpha0+ Master"
91330,"LibreOffice","Chart","2015-05-16 19:00:15","5.0.0.0.alpha0+ Master"
91368,"LibreOffice","Writer","2015-05-19 00:11:47","5.0.0.0.alpha0+ Master"
91388,"LibreOffice","filters and storage","2015-05-19 12:48:10","5.0.0.0.alpha0+ Master"
91408,"LibreOffice","Writer","2015-05-20 12:19:58","5.0.0.0.alpha0+ Master"
91533,"LibreOffice","UI","2015-05-23 16:15:03","5.0.0.0.alpha0+ Master"
91632,"LibreOffice","Writer","2015-05-26 08:38:20","5.0.0.0.alpha0+ Master"
91654,"LibreOffice","Calc","2015-05-26 23:00:30","5.0.0.0.alpha0+ Master"
91691,"LibreOffice","Calc","2015-05-28 06:04:41","5.0.0.0.alpha0+ Master"
91784,"LibreOffice","Android Viewer","2015-05-31 22:05:31","5.0.0.0.alpha0+ Master"
91941,"LibreOffice","Android Viewer","2015-06-08 18:08:33","5.0.0.0.alpha0+ Master"
92079,"LibreOffice","BASIC","2015-06-15 07:20:43","5.0.0.0.alpha0+ Master"
92182,"LibreOffice","Writer","2015-06-19 12:57:57","5.0.0.0.alpha0+ Master"
93309,"LibreOffice","UI","2015-08-09 19:22:48","5.0.0.0.alpha0+ Master"
93848,"LibreOffice","Base","2015-09-02 06:42:31","5.0.0.0.alpha0+ Master"
93902,"LibreOffice","LibreOffice","2015-09-03 20:36:54","5.0.0.0.alpha0+ Master"
94117,"LibreOffice","graphics stack","2015-09-11 00:31:41","5.0.0.0.alpha0+ Master"
76570,"LibreOffice","UI","2014-03-24 20:52:25","5.0.0.0.alpha0+ Master"
94174,"LibreOffice","UI","2015-09-12 22:16:34","5.0.0.0.alpha0+ Master"
91520,"LibreOffice","UI","2015-05-23 11:55:58","5.0.0.0.alpha0+ Master"
91522,"LibreOffice","UI","2015-05-23 12:35:16","5.0.0.0.alpha0+ Master"
89884,"LibreOffice","Localization","2015-03-08 10:29:26","5.0.0.0.alpha0+ Master"
90966,"LibreOffice","Calc","2015-04-30 13:29:24","5.0.0.0.alpha0+ Master"
91012,"LibreOffice","ux-advise","2015-05-02 10:00:42","5.0.0.0.alpha0+ Master"
91130,"LibreOffice","ux-advise","2015-05-07 12:15:05","5.0.0.0.alpha0+ Master"
91197,"LibreOffice","LibreOffice","2015-05-10 10:29:59","5.0.0.0.alpha0+ Master"
91331,"LibreOffice","Chart","2015-05-16 19:05:10","5.0.0.0.alpha0+ Master"
91439,"LibreOffice","LibreOffice","2015-05-21 19:29:09","5.0.0.0.alpha0+ Master"
91441,"LibreOffice","ux-advise","2015-05-21 21:34:12","5.0.0.0.alpha0+ Master"
91508,"LibreOffice","ux-advise","2015-05-23 07:56:20","5.0.0.0.alpha0+ Master"
