Bug ID,Product,Component,Version,Opened,
372,Tomcat 5,Jasper,5,22-12-00 23:19,
2500,Tomcat 5,Jasper,5,08-07-01 10:08,
4690,Tomcat 5,Catalina,5,06-11-01 14:22,
4829,Tomcat 5,Catalina,5,13-11-01 2:39,
6582,Tomcat 5,Webapps:Examples,5,20-02-02 15:56,
9351,Tomcat 5,Unknown,5,23-05-02 14:43,
10671,Tomcat 5,Jasper,5,11-07-02 3:08,
11563,Tomcat 5,Webapps:Examples,5,08-08-02 15:49,
11739,Tomcat 5,Jasper,5,15-08-02 19:08,
11740,Tomcat 5,Catalina,5,15-08-02 19:12,
11742,Tomcat 5,Jasper,5,15-08-02 19:17,
11826,Tomcat 5,Catalina,5,19-08-02 17:20,
11829,Tomcat 5,Jasper,5,19-08-02 17:28,
11871,Tomcat 5,Catalina,5,20-08-02 19:10,
11883,Tomcat 5,Servlet & JSP API,5,21-08-02 5:18,
11884,Tomcat 5,Servlet & JSP API,5,21-08-02 5:21,
12003,Tomcat 5,Jasper,5,24-08-02 2:58,
12020,Tomcat 5,Jasper,5,25-08-02 4:05,
12021,Tomcat 5,Jasper,5,25-08-02 4:07,
12046,Tomcat 5,Jasper,5,26-08-02 17:06,
12088,Tomcat 5,Jasper,5,27-08-02 16:45,
12107,Tomcat 5,Jasper,5,27-08-02 21:31,
12109,Tomcat 5,Jasper,5,27-08-02 21:58,
12110,Tomcat 5,Catalina,5,27-08-02 22:02,
12135,Tomcat 5,Webapps:Examples,5,28-08-02 18:42,
12142,Tomcat 5,Jasper,5,28-08-02 21:55,
12147,Tomcat 5,Catalina,5,29-08-02 1:05,
12200,Tomcat 5,Jasper,5,30-08-02 22:47,
12201,Tomcat 5,Jasper,5,31-08-02 0:04,
12204,Tomcat 5,Catalina,5,31-08-02 1:53,
12269,Tomcat 5,Jasper,5,03-09-02 17:27,
12280,Tomcat 5,Catalina,5,03-09-02 23:12,
12282,Tomcat 5,Jasper,5,04-09-02 1:35,
12283,Tomcat 5,Jasper,5,04-09-02 1:44,
12318,Tomcat 5,Jasper,5,04-09-02 21:47,
12319,Tomcat 5,Jasper,5,04-09-02 21:47,
12321,Tomcat 5,Jasper,5,04-09-02 22:37,
12343,Tomcat 5,Jasper,5,05-09-02 20:11,
12381,Tomcat 5,Jasper,5,06-09-02 20:49,
12393,Tomcat 5,Jasper,5,08-09-02 2:18,
12412,Tomcat 5,Jasper,5,09-09-02 4:15,
12413,Tomcat 5,Jasper,5,09-09-02 4:27,
12414,Tomcat 5,Jasper,5,09-09-02 5:02,
12456,Tomcat 5,Catalina,5,09-09-02 20:20,
12457,Tomcat 5,Catalina,5,09-09-02 20:47,
12460,Tomcat 5,Catalina,5,09-09-02 21:20,
12461,Tomcat 5,Jasper,5,09-09-02 21:47,
12462,Tomcat 5,Catalina,5,09-09-02 22:15,
12466,Tomcat 5,Jasper,5,10-09-02 1:29,
12467,Tomcat 5,Jasper,5,10-09-02 1:33,
12469,Tomcat 5,Jasper,5,10-09-02 2:41,
12493,Tomcat 5,Jasper,5,10-09-02 18:52,
12503,Tomcat 5,Catalina,5,10-09-02 23:34,
12558,Tomcat 5,Jasper,5,12-09-02 2:26,
12559,Tomcat 5,Catalina,5,12-09-02 4:13,
12590,Tomcat 5,Jasper,5,12-09-02 20:02,
12591,Tomcat 5,Jasper,5,12-09-02 20:06,
12594,Tomcat 5,Jasper,5,12-09-02 20:35,
12601,Tomcat 5,Catalina,5,13-09-02 1:39,
12608,Tomcat 5,Connector:Coyote,5,13-09-02 8:58,
12638,Tomcat 5,Jasper,5,14-09-02 1:59,
12653,Tomcat 5,Jasper,5,15-09-02 1:13,
12654,Tomcat 5,Jasper,5,15-09-02 1:17,
12715,Tomcat 5,Servlet & JSP API,5,16-09-02 23:53,
12717,Tomcat 5,Jasper,5,17-09-02 3:10,
12718,Tomcat 5,Jasper,5,17-09-02 3:10,
12719,Tomcat 5,Catalina,5,17-09-02 3:15,
12755,Tomcat 5,Catalina,5,18-09-02 0:40,
12823,Tomcat 5,Connector:HTTP,5,19-09-02 17:52,
13000,Tomcat 5,Jasper,5,25-09-02 19:04,
13058,Tomcat 5,Jasper,5,27-09-02 2:36,
13085,Tomcat 5,Catalina,5,27-09-02 16:39,
13093,Tomcat 5,Jasper,5,27-09-02 18:22,
13094,Tomcat 5,Jasper,5,27-09-02 18:23,
13138,Tomcat 5,Jasper,5,30-09-02 14:03,
13140,Tomcat 5,Jasper,5,30-09-02 14:12,
13158,Tomcat 5,Jasper,5,30-09-02 22:06,
13164,Tomcat 5,Jasper,5,01-10-02 3:50,
13173,Tomcat 5,Jasper,5,01-10-02 13:40,
13264,Tomcat 5,Jasper,5,03-10-02 21:38,
13551,Tomcat 5,Jasper,5,11-10-02 20:03,
13552,Tomcat 5,Jasper,5,11-10-02 20:04,
13553,Tomcat 5,Jasper,5,11-10-02 20:18,
13587,Tomcat 5,Webapps:Documentation,5,14-10-02 1:33,
13619,Tomcat 5,Jasper,5,14-10-02 22:57,
13715,Tomcat 5,Jasper,5,17-10-02 0:57,
13723,Tomcat 5,Unknown,5,17-10-02 8:33,
14110,Tomcat 5,Jasper,5,31-10-02 1:30,
14230,Tomcat 5,Catalina,5,04-11-02 16:36,
14273,Tomcat 5,Jasper,5,05-11-02 20:46,
14413,Tomcat 5,Jasper,5,09-11-02 19:00,
14526,Tomcat 5,Jasper,5,13-11-02 21:05,
14616,Tomcat 5,Catalina,5,16-11-02 18:22,
14660,Tomcat 5,Jasper,5,19-11-02 0:21,
14741,Tomcat 5,Jasper,5,21-11-02 16:16,
14854,Tomcat 5,Jasper,5,26-11-02 14:52,
14855,Tomcat 5,Connector:Coyote,5,26-11-02 15:01,
14895,Tomcat 5,Catalina,5,27-11-02 14:51,
14975,Tomcat 5,Webapps:Administration,5,30-11-02 21:59,
15002,Tomcat 5,Jasper,5,02-12-02 19:28,
15003,Tomcat 5,Jasper,5,02-12-02 19:39,
15189,Tomcat 5,Jasper,5,09-12-02 18:05,
15337,Tomcat 5,Jasper,5,12-12-02 22:17,
15338,Tomcat 5,Jasper,5,12-12-02 22:25,
15354,Tomcat 5,Jasper,5,13-12-02 14:44,
15355,Tomcat 5,Jasper,5,13-12-02 14:47,
15357,Tomcat 5,Jasper,5,13-12-02 14:53,
15360,Tomcat 5,Jasper,5,13-12-02 15:17,
15364,Tomcat 5,Jasper,5,13-12-02 16:03,
15391,Tomcat 5,Jasper,5,16-12-02 12:08,
15404,Tomcat 5,Jasper,5,16-12-02 15:57,
15410,Tomcat 5,Jasper,5,16-12-02 19:16,
15411,Tomcat 5,Jasper,5,16-12-02 19:48,
15659,Tomcat 5,Webapps:Administration,5,25-12-02 16:27,
15702,Tomcat 5,Webapps:Examples,5,29-12-02 14:43,
15771,Tomcat 5,Connector:AJP,5,03-01-03 0:48,
15772,Tomcat 5,Catalina,5,03-01-03 2:19,
15774,Tomcat 5,Catalina,5,03-01-03 6:50,
15851,Tomcat 5,Jasper,5,07-01-03 18:55,
15854,Tomcat 5,Jasper,5,07-01-03 19:42,
15863,Tomcat 5,Jasper,5,07-01-03 21:31,
15904,Tomcat 5,Catalina,5,08-01-03 20:37,
15937,Tomcat 5,Jasper,5,09-01-03 23:42,
15961,Tomcat 5,Jasper,5,10-01-03 17:30,
15964,Tomcat 5,Jasper,5,10-01-03 18:32,
15966,Tomcat 5,Jasper,5,10-01-03 18:54,
15967,Tomcat 5,Catalina,5,10-01-03 19:33,
16027,Tomcat 5,Jasper,5,13-01-03 15:01,
16028,Tomcat 5,Unknown,5,13-01-03 15:39,
16030,Tomcat 5,Jasper,5,13-01-03 16:52,
16077,Tomcat 5,Jasper,5,14-01-03 21:22,
16078,Tomcat 5,Jasper,5,14-01-03 21:36,
16079,Tomcat 5,Jasper,5,14-01-03 21:48,
16088,Tomcat 5,Jasper,5,15-01-03 0:30,
16113,Tomcat 5,Jasper,5,15-01-03 16:43,
16127,Tomcat 5,Jasper,5,15-01-03 18:42,
16129,Tomcat 5,Jasper,5,15-01-03 19:01,
16224,Tomcat 5,Jasper,5,17-01-03 21:55,
16395,Tomcat 5,Jasper,5,24-01-03 15:16,
16474,Tomcat 5,Connector:Coyote,5,27-01-03 21:04,
