,pareto,weibull,exp,gamma,lnorm
tomcat4.1,173.269493,158.6449348,170.4950448,163.2076443,170.5528318
tomcat5,163.211878,111.6770969,160.5038202,114.9277534,115.520722
firefox2,83.24909881,83.50860935,80.82652874,82.71793518,76.91682699
firefox3,99.91439775,93.02590594,96.91865821,93.24059831,94.2246182
firefox4,81.60224176,81.80211596,84.9253233,82.22729117,80.58735133
libre3,100.1063224,98.83394348,97.8037281,99.60850382,103.4130944
libre4,114.9100805,77.45989735,112.6074947,76.54821041,76.5250166
freebsd2,79.55059036,78.58146018,77.24800338,78.17802802,77.82745033
freebsd3,112.8368806,95.39683631,110.5342938,95.84960022,96.24044045
freebsd4,115.2141048,105.3996135,112.9115179,107.5058012,109.8876829
eclipse1,85.87298943,78.51006185,83.57040353,78.58875177,79.33734637
eclipse2.0,86.908632,89.79090959,94.72784962,91.31194978,86.4620839
eclipse2.1,112.5144225,112.6603274,110.3822556,112.7436157,112.0645617
