Bug ID,Product,Component,Version,Opened
24913,JDT,UI,2.0.1,17-10-02 6:08
25696,JDT,UI,2.0.1,04-11-02 14:30
25962,JDT,Core,2.0.1,11-11-02 5:06
23977,JDT,Core,2.0.1,23-09-02 11:22
25109,JDT,Text,2.0.1,20-10-02 23:52
27740,JDT,UI,2.0.1,05-12-02 7:50
24317,JDT,Text,2.0.1,02-10-02 10:27
24386,JDT,UI,2.0.1,04-10-02 10:15
23405,JDT,UI,2.0.1,11-09-02 9:13
24517,JDT,Core,2.0.1,08-10-02 11:30
25944,JDT,UI,2.0.1,09-11-02 17:16
24592,JDT,Text,2.0.1,09-10-02 15:31
23359,JDT,Text,2.0.1,10-09-02 9:56
23585,JDT,UI,2.0.1,14-09-02 9:50
23946,JDT,Text,2.0.1,21-09-02 2:31
25274,JDT,UI,2.0.1,23-10-02 15:15
23268,JDT,Debug,2.0.1,06-09-02 10:05
24680,JDT,UI,2.0.1,10-10-02 19:07
23271,JDT,Debug,2.0.1,06-09-02 10:47
406142,JDT,Core,2.0.1,20-04-13 5:18
25760,JDT,Debug,2.0.1,06-11-02 8:35
23769,JDT,Core,2.0.1,18-09-02 15:18
24266,JDT,UI,2.0.1,01-10-02 9:55
23930,JDT,Core,2.0.1,20-09-02 14:20
27660,JDT,Core,2.0.1,04-12-02 9:43
23292,JDT,Core,2.0.1,07-09-02 0:58
408455,JDT,Text,2.0.1,19-05-13 5:25
25582,JDT,Core,2.0.1,31-10-02 9:24
26526,JDT,Core,2.0.1,15-11-02 17:34
388622,JDT,UI,2.0.1,02-09-12 3:56
24804,JDT,Core,2.0.1,15-10-02 15:10
25378,JDT,Core,2.0.1,25-10-02 9:10
23485,JDT,UI,2.0.1,12-09-02 11:16
24117,JDT,Debug,2.0.1,26-09-02 5:10
25174,JDT,Core,2.0.1,22-10-02 8:02
32416,JDT,Core,2.0.1,20-02-03 17:09
25364,JDT,Debug,2.0.1,24-10-02 21:53
24825,JDT,Doc,2.0.1,16-10-02 8:51
25203,JDT,UI,2.0.1,22-10-02 12:24
25508,JDT,UI,2.0.1,29-10-02 13:54
