"Bug ID","Product","Component","Version","Opened"
34808,"JDT","UI",2.1,"2003-03-12 09:44:24"
36465,"JDT","Core",2.1,"2003-04-14 14:49:25"
38529,"JDT","Debug",2.1,"2003-06-05 12:04:43"
27158,"JDT","Text",2.1,"2002-11-26 10:17:03"
30999,"JDT","Core",2.1,"2003-02-05 13:37:06"
28442,"JDT","UI",2.1,"2002-12-17 04:47:11"
27389,"JDT","Debug",2.1,"2002-11-29 10:08:16"
27281,"JDT","Debug",2.1,"2002-11-27 18:04:52"
28777,"JDT","Text",2.1,"2002-12-20 16:38:13"
27714,"JDT","Core",2.1,"2002-12-04 17:57:18"
30991,"JDT","UI",2.1,"2003-02-05 12:51:30"
26747,"JDT","Core",2.1,"2002-11-20 05:42:33"
33376,"JDT","UI",2.1,"2003-02-26 16:44:30"
25900,"JDT","Text",2.1,"2002-11-08 11:56:12"
32010,"JDT","UI",2.1,"2003-02-17 10:15:13"
31244,"JDT","UI",2.1,"2003-02-07 06:27:43"
30380,"JDT","Text",2.1,"2003-01-28 09:01:54"
27264,"JDT","UI",2.1,"2002-11-27 13:37:21"
33266,"JDT","UI",2.1,"2003-02-26 09:54:13"
26098,"JDT","Core",2.1,"2002-11-13 09:13:42"
28463,"JDT","UI",2.1,"2002-12-17 05:47:31"
28496,"JDT","UI",2.1,"2002-12-17 08:39:43"
27893,"JDT","UI",2.1,"2002-12-07 18:50:04"
32633,"JDT","Debug",2.1,"2003-02-24 07:33:02"
33694,"JDT","UI",2.1,"2003-03-03 14:42:09"
32469,"JDT","Text",2.1,"2003-02-21 06:37:46"
36563,"JDT","UI",2.1,"2003-04-16 08:39:39"
25894,"JDT","Core",2.1,"2002-11-08 10:07:43"
36520,"JDT","UI",2.1,"2003-04-15 13:00:54"
26847,"JDT","Text",2.1,"2002-11-21 08:41:25"
27632,"JDT","UI",2.1,"2002-12-04 03:30:41"
28420,"JDT","Debug",2.1,"2002-12-16 14:32:39"
32805,"JDT","Text",2.1,"2003-02-24 15:58:24"
25914,"JDT","UI",2.1,"2002-11-08 14:44:06"
34138,"JDT","Debug",2.1,"2003-03-07 15:25:52"
31891,"JDT","UI",2.1,"2003-02-14 12:12:51"
26865,"JDT","UI",2.1,"2002-11-21 10:52:06"
30979,"JDT","UI",2.1,"2003-02-05 12:00:11"
38467,"JDT","UI",2.1,"2003-06-05 05:47:14"
28500,"JDT","UI",2.1,"2002-12-17 09:23:24"
31134,"JDT","UI",2.1,"2003-02-06 13:39:59"
33563,"JDT","UI",2.1,"2003-02-28 12:52:10"
32831,"JDT","UI",2.1,"2003-02-24 17:12:49"
26838,"JDT","UI",2.1,"2002-11-21 05:59:33"
27431,"JDT","Debug",2.1,"2002-11-29 15:05:30"
31998,"JDT","UI",2.1,"2003-02-17 08:00:04"
31082,"JDT","UI",2.1,"2003-02-06 07:45:18"
38453,"JDT","UI",2.1,"2003-06-05 05:00:23"
33421,"JDT","UI",2.1,"2003-02-27 04:47:32"
31111,"JDT","UI",2.1,"2003-02-06 12:25:15"
29297,"JDT","Debug",2.1,"2003-01-10 10:51:50"
36326,"JDT","Debug",2.1,"2003-04-09 19:44:12"
27861,"JDT","Core",2.1,"2002-12-06 14:10:17"
28069,"JDT","Core",2.1,"2002-12-11 01:17:35"
29985,"JDT","Text",2.1,"2003-01-22 10:55:35"
32935,"JDT","UI",2.1,"2003-02-25 06:51:50"
29706,"JDT","Text",2.1,"2003-01-17 09:38:57"
25386,"JDT","Text",2.1,"2002-10-25 10:51:49"
31922,"JDT","UI",2.1,"2003-02-14 17:20:53"
39474,"JDT","Debug",2.1,"2003-06-30 08:31:10"
31692,"JDT","UI",2.1,"2003-02-12 13:38:05"
29992,"JDT","Debug",2.1,"2003-01-22 11:32:19"
33457,"JDT","UI",2.1,"2003-02-27 12:26:20"
26354,"JDT","UI",2.1,"2002-11-14 11:11:51"
31091,"JDT","UI",2.1,"2003-02-06 10:26:22"
32107,"JDT","Core",2.1,"2003-02-18 07:22:52"
41434,"JDT","Core",2.1,"2003-08-12 05:30:28"
34169,"JDT","UI",2.1,"2003-03-07 19:50:19"
25517,"JDT","UI",2.1,"2002-10-29 16:04:53"
40668,"JDT","Text",2.1,"2003-07-23 12:55:50"
33722,"JDT","UI",2.1,"2003-03-03 21:46:48"
26928,"JDT","Text",2.1,"2002-11-22 05:07:28"
27769,"JDT","Text",2.1,"2002-12-05 11:18:01"
28637,"JDT","Core",2.1,"2002-12-18 13:01:03"
28469,"JDT","UI",2.1,"2002-12-17 05:55:35"
29474,"JDT","Debug",2.1,"2003-01-14 15:05:34"
30786,"JDT","Text",2.1,"2003-02-02 20:31:47"
31936,"JDT","Text",2.1,"2003-02-15 04:42:51"
34587,"JDT","UI",2.1,"2003-03-11 07:30:25"
26974,"JDT","UI",2.1,"2002-11-22 11:26:00"
31540,"JDT","UI",2.1,"2003-02-11 08:12:01"
25728,"JDT","Text",2.1,"2002-11-05 10:44:47"
31465,"JDT","Debug",2.1,"2003-02-10 11:10:20"
25870,"JDT","Text",2.1,"2002-11-07 20:57:32"
26380,"JDT","UI",2.1,"2002-11-14 13:17:21"
40147,"JDT","Text",2.1,"2003-07-15 16:07:59"
27400,"JDT","Text",2.1,"2002-11-29 10:41:38"
32933,"JDT","UI",2.1,"2003-02-25 06:50:15"
27836,"JDT","Debug",2.1,"2002-12-06 10:37:30"
27636,"JDT","UI",2.1,"2002-12-04 04:52:45"
33473,"JDT","UI",2.1,"2003-02-27 13:58:23"
31228,"JDT","UI",2.1,"2003-02-07 05:43:34"
30888,"JDT","UI",2.1,"2003-02-04 12:48:46"
30727,"JDT","UI",2.1,"2003-01-31 12:49:35"
30304,"JDT","UI",2.1,"2003-01-27 10:40:32"
35951,"JDT","Text",2.1,"2003-04-01 17:29:33"
30597,"JDT","UI",2.1,"2003-01-30 07:25:19"
25763,"JDT","Text",2.1,"2002-11-06 09:18:32"
33258,"JDT","UI",2.1,"2003-02-26 09:15:44"
37568,"JDT","UI",2.1,"2003-05-13 16:30:08"
29175,"JDT","Debug",2.1,"2003-01-08 16:46:49"
27098,"JDT","UI",2.1,"2002-11-25 11:23:45"
33296,"JDT","UI",2.1,"2003-02-26 12:18:02"
31865,"JDT","UI",2.1,"2003-02-14 08:01:31"
34332,"JDT","UI",2.1,"2003-03-10 10:44:41"
28150,"JDT","Core",2.1,"2002-12-12 02:07:27"
30971,"JDT","Debug",2.1,"2003-02-05 11:28:07"
37545,"JDT","Debug",2.1,"2003-05-13 07:32:36"
33458,"JDT","UI",2.1,"2003-02-27 12:37:34"
31464,"JDT","Debug",2.1,"2003-02-10 11:04:24"
40022,"JDT","Debug",2.1,"2003-07-14 10:46:32"
34077,"JDT","Text",2.1,"2003-03-07 08:04:15"
26547,"JDT","UI",2.1,"2002-11-16 14:12:27"
36092,"JDT","Text",2.1,"2003-04-04 16:26:50"
38199,"JDT","Debug",2.1,"2003-05-28 11:59:18"
31921,"JDT","Text",2.1,"2003-02-14 16:55:19"
32688,"JDT","Text",2.1,"2003-02-24 11:26:03"
38341,"JDT","Text",2.1,"2003-06-02 14:09:31"
27027,"JDT","Core",2.1,"2002-11-23 13:29:12"
28509,"JDT","UI",2.1,"2002-12-17 09:42:10"
26504,"JDT","UI",2.1,"2002-11-15 13:45:10"
30008,"JDT","UI",2.1,"2003-01-22 15:07:16"
25610,"JDT","Text",2.1,"2002-10-31 17:08:54"
26287,"JDT","UI",2.1,"2002-11-14 08:50:04"
25987,"JDT","Text",2.1,"2002-11-11 13:25:43"
33257,"JDT","UI",2.1,"2003-02-26 09:06:27"
35379,"JDT","UI",2.1,"2003-03-20 11:46:56"
30231,"JDT","UI",2.1,"2003-01-25 16:51:10"
30272,"JDT","UI",2.1,"2003-01-27 05:45:32"
33364,"JDT","UI",2.1,"2003-02-26 16:20:23"
32918,"JDT","UI",2.1,"2003-02-25 06:02:36"
37231,"JDT","UI",2.1,"2003-05-05 12:48:51"
29549,"JDT","UI",2.1,"2003-01-15 12:13:52"
38515,"JDT","Debug",2.1,"2003-06-05 09:18:52"
26770,"JDT","Text",2.1,"2002-11-20 09:58:40"
34613,"JDT","UI",2.1,"2003-03-11 10:30:34"
30989,"JDT","UI",2.1,"2003-02-05 12:36:27"
32687,"JDT","UI",2.1,"2003-02-24 11:23:46"
35769,"JDT","Text",2.1,"2003-03-27 13:42:15"
31601,"JDT","UI",2.1,"2003-02-11 17:30:43"
27874,"JDT","Debug",2.1,"2002-12-06 16:47:47"
30080,"JDT","Text",2.1,"2003-01-23 07:10:08"
27121,"JDT","Text",2.1,"2002-11-25 15:10:35"
28818,"JDT","Debug",2.1,"2002-12-23 00:04:47"
25700,"JDT","UI",2.1,"2002-11-04 15:38:24"
33405,"JDT","UI",2.1,"2003-02-26 20:01:09"
27408,"JDT","UI",2.1,"2002-11-29 10:58:19"
31164,"JDT","UI",2.1,"2003-02-06 16:20:08"
31785,"JDT","UI",2.1,"2003-02-13 11:22:54"
28735,"JDT","Text",2.1,"2002-12-20 08:22:49"
27643,"JDT","UI",2.1,"2002-12-04 06:05:10"
27322,"JDT","Core",2.1,"2002-11-28 10:12:05"
27148,"JDT","UI",2.1,"2002-11-26 06:35:16"
26072,"JDT","UI",2.1,"2002-11-12 22:35:36"
31524,"JDT","UI",2.1,"2003-02-11 05:38:35"
