"Bug ID","Product","Component","Changed","Opened","Version"
255242,"Firefox","File Handling","2015-03-19 08:19:31","2004-08-11 13:14:06","1.0 Branch"
264037,"Firefox","Keyboard Navigation","2008-05-10 08:41:37","2004-10-12 08:28:17","1.0 Branch"
267097,"Firefox","Shell Integration","2013-06-23 10:31:29","2004-10-31 20:09:01","1.0 Branch"
251812,"Firefox","General","2012-08-26 12:29:25","2004-07-16 16:21:54","1.0 Branch"
252528,"Firefox","General","2010-10-18 22:14:12","2004-07-21 14:51:55","1.0 Branch"
259810,"Firefox","Keyboard Navigation","2012-03-04 14:32:22","2004-09-16 06:51:26","1.0 Branch"
259856,"Firefox","Preferences","2013-12-07 12:48:27","2004-09-16 11:03:47","1.0 Branch"
261753,"Firefox","File Handling","2007-03-16 22:08:45","2004-09-27 03:07:27","1.0 Branch"
263214,"Firefox","Shell Integration","2007-03-16 22:09:56","2004-10-06 11:57:09","1.0 Branch"
265518,"Firefox","File Handling","2007-03-16 22:11:38","2004-10-21 15:00:56","1.0 Branch"
275255,"Firefox","Bookmarks & History","2014-05-28 11:23:35","2004-12-19 02:31:53","1.0 Branch"
286028,"Firefox","Menus","2012-05-20 20:54:41","2005-03-13 20:33:21","1.0 Branch"
294940,"Firefox","Location Bar","2012-04-25 23:44:16","2005-05-20 09:50:15","1.0 Branch"
306625,"Firefox","Preferences","2014-05-12 08:43:19","2005-08-31 14:37:03","1.0 Branch"
