Bug ID,Product,Component,Version,Opened
91187,LibreOffice,Impress,5.0.0.0.alpha0+ Master,09-05-15 15:43
92483,LibreOffice,Installation,5.0.0.0.alpha0+ Master,01-07-15 19:02
92940,LibreOffice,Linguistic,5.0.0.0.alpha0+ Master,26-07-15 12:32
92068,LibreOffice,Documentation,5.0.0.0.alpha0+ Master,14-06-15 20:31
94509,LibreOffice,UI,5.0.0.0.alpha0+ Master,25-09-15 15:13
85767,LibreOffice,UI,5.0.0.0.alpha0+ Master,02-11-14 18:00
90964,LibreOffice,Writer,5.0.0.0.alpha0+ Master,30-04-15 13:13
90965,LibreOffice,UI,5.0.0.0.alpha0+ Master,30-04-15 13:17
90987,LibreOffice,Draw,5.0.0.0.alpha0+ Master,01-05-15 9:36
91158,LibreOffice,UI,5.0.0.0.alpha0+ Master,08-05-15 11:49
91167,LibreOffice,Writer,5.0.0.0.alpha0+ Master,08-05-15 17:25
91250,LibreOffice,Chart,5.0.0.0.alpha0+ Master,13-05-15 5:18
91251,LibreOffice,Calc,5.0.0.0.alpha0+ Master,13-05-15 6:01
91310,LibreOffice,graphics stack,5.0.0.0.alpha0+ Master,15-05-15 16:53
91329,LibreOffice,Calc,5.0.0.0.alpha0+ Master,16-05-15 18:42
91330,LibreOffice,Chart,5.0.0.0.alpha0+ Master,16-05-15 19:00
91368,LibreOffice,Writer,5.0.0.0.alpha0+ Master,19-05-15 0:11
91388,LibreOffice,filters and storage,5.0.0.0.alpha0+ Master,19-05-15 12:48
91408,LibreOffice,Writer,5.0.0.0.alpha0+ Master,20-05-15 12:19
91533,LibreOffice,UI,5.0.0.0.alpha0+ Master,23-05-15 16:15
91632,LibreOffice,Writer,5.0.0.0.alpha0+ Master,26-05-15 8:38
91654,LibreOffice,Calc,5.0.0.0.alpha0+ Master,26-05-15 23:00
91691,LibreOffice,Calc,5.0.0.0.alpha0+ Master,28-05-15 6:04
91784,LibreOffice,Android Viewer,5.0.0.0.alpha0+ Master,31-05-15 22:05
91941,LibreOffice,Android Viewer,5.0.0.0.alpha0+ Master,08-06-15 18:08
92079,LibreOffice,BASIC,5.0.0.0.alpha0+ Master,15-06-15 7:20
92182,LibreOffice,Writer,5.0.0.0.alpha0+ Master,19-06-15 12:57
93309,LibreOffice,UI,5.0.0.0.alpha0+ Master,09-08-15 19:22
93848,LibreOffice,Base,5.0.0.0.alpha0+ Master,02-09-15 6:42
93902,LibreOffice,LibreOffice,5.0.0.0.alpha0+ Master,03-09-15 20:36
94117,LibreOffice,graphics stack,5.0.0.0.alpha0+ Master,11-09-15 0:31
76570,LibreOffice,UI,5.0.0.0.alpha0+ Master,24-03-14 20:52
94174,LibreOffice,UI,5.0.0.0.alpha0+ Master,12-09-15 22:16
91520,LibreOffice,UI,5.0.0.0.alpha0+ Master,23-05-15 11:55
91522,LibreOffice,UI,5.0.0.0.alpha0+ Master,23-05-15 12:35
89884,LibreOffice,Localization,5.0.0.0.alpha0+ Master,08-03-15 10:29
90966,LibreOffice,Calc,5.0.0.0.alpha0+ Master,30-04-15 13:29
91012,LibreOffice,ux-advise,5.0.0.0.alpha0+ Master,02-05-15 10:00
91130,LibreOffice,ux-advise,5.0.0.0.alpha0+ Master,07-05-15 12:15
91197,LibreOffice,LibreOffice,5.0.0.0.alpha0+ Master,10-05-15 10:29
91331,LibreOffice,Chart,5.0.0.0.alpha0+ Master,16-05-15 19:05
91439,LibreOffice,LibreOffice,5.0.0.0.alpha0+ Master,21-05-15 19:29
91441,LibreOffice,ux-advise,5.0.0.0.alpha0+ Master,21-05-15 21:34
91508,LibreOffice,ux-advise,5.0.0.0.alpha0+ Master,23-05-15 7:56
91806,LibreOffice,sdk,5.0.0.0.alpha0+ Master,02-06-15 8:13
91811,LibreOffice,Draw,5.0.0.0.alpha0+ Master,02-06-15 13:31
91827,LibreOffice,Impress,5.0.0.0.alpha0+ Master,03-06-15 12:23
91829,LibreOffice,ux-advise,5.0.0.0.alpha0+ Master,03-06-15 12:44
94537,LibreOffice,Calc,5.0.0.0.alpha0+ Master,26-09-15 21:12
90830,LibreOffice,UI,5.0.0.0.alpha0+ Master,24-04-15 11:46
91571,LibreOffice,Writer,5.0.0.0.alpha0+ Master,24-05-15 9:31
91327,LibreOffice,UI,5.0.0.0.alpha0+ Master,16-05-15 16:38
91870,LibreOffice,Writer,5.0.0.0.beta1,05-06-15 7:53
93754,LibreOffice,graphics stack,5.0.0.0.beta1,29-08-15 0:05
91473,LibreOffice,Installation,5.0.0.0.beta1,22-05-15 12:24
91489,LibreOffice,Calc,5.0.0.0.beta1,22-05-15 17:27
91759,LibreOffice,Calc,5.0.0.0.beta1,30-05-15 21:51
91800,LibreOffice,Extensions,5.0.0.0.beta1,01-06-15 17:38
91972,LibreOffice,LibreOffice,5.0.0.0.beta1,09-06-15 18:22
91992,LibreOffice,Documentation,5.0.0.0.beta1,10-06-15 20:21
91447,LibreOffice,Calc,5.0.0.0.beta1,22-05-15 7:01
91449,LibreOffice,Impress,5.0.0.0.beta1,22-05-15 7:25
91451,LibreOffice,Writer,5.0.0.0.beta1,22-05-15 7:59
91454,LibreOffice,Calc,5.0.0.0.beta1,22-05-15 8:49
91457,LibreOffice,Calc,5.0.0.0.beta1,22-05-15 9:55
91466,LibreOffice,UI,5.0.0.0.beta1,22-05-15 11:35
