,pareto,weibull,exp,gamma,lnorm
tomcat3.3,0.219466667,0.222387722,0.219457736,0.292239288,0.185196905
tomcat4.1,0.556236747,0.677001168,0.556009664,0.105810712,0.673345815
tomcat5,0.493406211,0.611927398,0.493472129,0.548528284,0.61192741
firefox2,0.169558169,0.162140425,0.163584425,0.169405635,0.18511394
firefox3,0.218360916,0.226265206,0.218476658,0.391497673,0.223159078
firefox4,0.387761089,0.480303574,0.669786107,0.834815279,0.430688585
libre3,0.426857579,0.490821062,0.426754936,0.363539068,0.448112442
libre4,0.558799653,0.623851261,0.558801338,0.533679706,0.623851261
freebsd2,0.391990558,0.465084098,0.392073901,0.18967489,0.46428366
freebsd3,0.534440994,0.605956232,0.534459846,0.538192312,0.605997411
freebsd4,0.592738427,0.656061557,0.592733962,0.139220602,0.656676801
eclipse1,0.441973063,0.623951135,0.441975248,0.333418871,0.640825997
eclipse2.0,0.41254938,0.487153817,0.69783597,0.863322509,0.459756345
eclipse2.1,0.618743487,0.618656054,0.639942248,0.661812534,0.636518724
