,pareto,weibull,exp,gamma,lnorm
tomcat4.1,1.886750757,2.296382744,1.885980495,0.358909121,2.283983814
tomcat5,1.679418491,2.082831881,1.679642857,1.867038804,2.082831922
firefox2,0.692993108,0.662676399,0.668578105,0.692369693,0.756570358
firefox3,0.745104473,0.772075977,0.745499416,1.335892305,0.761477056
firefox4,1.571692522,1.946790322,2.714810348,3.383714789,1.745688385
libre3,1.213133518,1.394918378,1.212841804,1.033181674,1.273540051
libre4,1.924852508,2.148930582,1.92485831,1.838323832,2.148930582
freebsd2,1.336311536,1.585490346,1.336595656,0.646609309,1.582761621
freebsd3,1.685162942,1.910659919,1.685222384,1.696991342,1.910789763
freebsd4,1.853697892,2.051731203,1.853683929,0.435390932,2.053655285
eclipse1,1.385942667,1.956590962,1.385949518,1.045537563,2.00950729
eclipse2.0,2.52866187,2.985938996,4.277284838,5.291610692,2.818010145
eclipse2.1,1.733968382,1.733723359,1.793375846,1.854665194,1.783781754
