,pareto,weibull,exp,gamma,lnorm
tomcat4.1,0.814075256,0.990818932,0.813742912,0.154858311,0.985469173
tomcat5,0.806314938,0.99999998,0.806422659,0.896394368,1
firefox2,0.238365852,0.227937944,0.229967928,0.238151418,0.260234244
firefox3,0.304985258,0.316025201,0.305146916,0.546805816,0.311686864
firefox4,0.436762623,0.540999741,0.754427264,0.940311242,0.485114886
libre3,0.773636794,0.889564229,0.773450763,0.658878307,0.812159113
libre4,0.895725774,1,0.895728473,0.855459849,1
freebsd2,0.557895393,0.661924811,0.558014011,0.269952287,0.660785598
freebsd3,0.881919599,0.999932047,0.881950708,0.888109919,1
freebsd4,0.902593648,0.999019074,0.902586849,0.211998455,0.999955939
eclipse1,0.64574568,0.911625128,0.645748872,0.487142348,0.936280181
eclipse2.0,0.451053655,0.532621112,0.762966762,0.943898578,0.502666565
eclipse2.1,0.810994038,0.810879439,0.838779492,0.867445122,0.834292241
