"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
6557,"Tomcat 3","Connectors","dev","RESOLVED","LATER","isapi_redirector can not handle post request from netscape 4.7x","2005-03-20 17:06:12","2002-02-19 18:26:06"
457,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Problems with virtual hosts on NT BugRat Report#781","2004-11-16 19:05:38","2001-01-16 08:11:04"
1048,"Tomcat 3","Webapps","dev","RESOLVED","LATER","Tomcat startup script cannot deal with spaces in paths","2004-11-16 19:05:38","2001-03-20 07:36:38"
33751,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","AJP12 support broken ; loses query string","2005-07-01 17:24:19","2005-02-26 08:06:41"
35896,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","Tomcat stoped service apache request","2005-07-28 01:55:42","2005-07-27 15:31:06"
5265,"Tomcat 3","Auth","dev","RESOLVED","INVALID","With JDBCRealm: cant add new user online to my authentification database, the new user will not work until I restart the server.","2004-11-16 19:05:38","2001-12-04 06:56:19"
6088,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","Too many custom tags?","2004-11-16 19:05:38","2002-01-29 08:38:57"
3358,"Tomcat 3","Unknown","dev","CLOSED","REMIND","JDK 1.1 support?","2004-11-16 19:05:38","2001-08-30 05:45:25"
6300,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","tomcat responses 404 when trying to access it using '%2f' instead of  '/'","2004-11-16 19:05:38","2002-02-07 09:21:25"
4919,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","JSP won't compile when using ""class"" attribute (standard HTML4 style sheet attribute)","2004-11-16 19:05:38","2001-11-16 04:52:30"
5860,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","specify driver unit","2005-03-20 17:06:12","2002-01-15 04:25:31"
7904,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","Tag Pool Manager - ClassCastException","2005-03-20 17:06:12","2002-04-10 02:17:29"
2788,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","getRemoteAddr does not work anymore!","2004-11-16 19:05:38","2001-07-25 10:42:19"
6816,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","build-unix.sh doesn't work on most standard Unixes","2004-11-16 19:05:38","2002-03-02 18:03:06"
10000,"Tomcat 3","Auth","dev","RESOLVED","LATER","IOException Broken Pipe when authenticating JDBCRealm MySQL db","2004-11-16 19:05:39","2002-06-19 13:10:42"
6341,"Tomcat 3","Config","dev","RESOLVED","FIXED","tomcat dies on startup","2005-03-20 17:06:12","2002-02-09 10:16:23"
6360,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","request.getSession(true) may return null","2005-03-20 17:06:12","2002-02-11 08:18:06"
6704,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","rmi client in jsp causes port down after large amount of requests","2005-03-20 17:06:12","2002-02-27 07:03:13"
2202,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","sendRedirect with enctype=""Multipart/form-data"" does not work","2004-11-16 19:05:38","2001-06-16 03:46:43"
31800,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Memory Leak in Expirer.removeManagedObject (TimeStamp)","2004-11-16 19:05:46","2004-10-20 14:23:00"
6073,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Incorrect client IP passed to ServletRequest","2004-11-16 19:05:38","2002-01-28 18:21:23"
