"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
1494,"Tomcat 3","Unknown","dev","CLOSED","LATER","after hight traffic receive NullPointerException","2004-11-16 19:05:38","2001-04-25 03:03:43"
6557,"Tomcat 3","Connectors","dev","RESOLVED","LATER","isapi_redirector can not handle post request from netscape 4.7x","2005-03-20 17:06:12","2002-02-19 18:26:06"
908,"Tomcat 3","Encoding","dev","CLOSED","LATER","Tomcat 3.3 doesn't decode UTF-8 URIs","2004-11-16 19:05:38","2001-03-08 14:39:54"
1593,"Tomcat 3","Jasper","dev","CLOSED","LATER","modified included files do not trigger recompilation","2004-11-16 19:05:38","2001-05-01 16:40:14"
1059,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","JSP pages fail to compile when referencing classes from apps classloader","2004-11-16 19:05:38","2001-03-20 23:32:47"
457,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Problems with virtual hosts on NT BugRat Report#781","2004-11-16 19:05:38","2001-01-16 08:11:04"
154,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Setting Last-Modified within doGet results in duplicate Last-Modified headers BugRat Report#185","2004-11-16 19:05:38","2000-09-29 23:46:55"
991,"Tomcat 3","Auth","dev","RESOLVED","FIXED","Basic Authentication doesn't work with mod_jserv","2004-11-16 19:05:38","2001-03-15 15:28:05"
1281,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Tomcat & ServletAPI Cannot build on Windows","2004-11-16 19:05:38","2001-04-09 22:38:39"
210,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","Problem with white spaces in URL BugRat Report#322","2007-05-07 07:09:11","2000-10-30 18:19:36"
1048,"Tomcat 3","Webapps","dev","RESOLVED","LATER","Tomcat startup script cannot deal with spaces in paths","2004-11-16 19:05:38","2001-03-20 07:36:38"
1949,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","session attributes not unbound on shutdown","2004-11-16 19:05:38","2001-06-01 03:13:51"
1137,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Problem in $TOMCAT_HOME/bin/tomcat.sh, at line 107.    .tomcatrc won't get picked up.","2004-11-16 19:05:38","2001-03-27 23:31:13"
1342,"Tomcat 3","Webapps","dev","RESOLVED","INVALID","contextList.jsp cannot find org/apache/tomcat/util/log/Logger","2004-11-16 19:05:38","2001-04-16 05:31:08"
1282,"Tomcat 3","Encoding","dev","RESOLVED","DUPLICATE","Directory listing problem","2004-11-16 19:05:38","2001-04-09 23:08:18"
33751,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","AJP12 support broken ; loses query string","2005-07-01 17:24:19","2005-02-26 08:06:41"
35896,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","Tomcat stoped service apache request","2005-07-28 01:55:42","2005-07-27 15:31:06"
5265,"Tomcat 3","Auth","dev","RESOLVED","INVALID","With JDBCRealm: cant add new user online to my authentification database, the new user will not work until I restart the server.","2004-11-16 19:05:38","2001-12-04 06:56:19"
6088,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","Too many custom tags?","2004-11-16 19:05:38","2002-01-29 08:38:57"
2658,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","Does not load classes specified using '/' separator (from xml files)","2004-11-16 19:05:38","2001-07-17 13:25:13"
3358,"Tomcat 3","Unknown","dev","CLOSED","REMIND","JDK 1.1 support?","2004-11-16 19:05:38","2001-08-30 05:45:25"
6300,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","tomcat responses 404 when trying to access it using '%2f' instead of  '/'","2004-11-16 19:05:38","2002-02-07 09:21:25"
4919,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","JSP won't compile when using ""class"" attribute (standard HTML4 style sheet attribute)","2004-11-16 19:05:38","2001-11-16 04:52:30"
5860,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","specify driver unit","2005-03-20 17:06:12","2002-01-15 04:25:31"
5993,"Tomcat 3","Connectors","dev","RESOLVED","DUPLICATE","Build of mod_jk ends in error (Command failed with rc=16777215 )","2004-11-16 19:05:38","2002-01-23 23:16:11"
7904,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","Tag Pool Manager - ClassCastException","2005-03-20 17:06:12","2002-04-10 02:17:29"
2788,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","getRemoteAddr does not work anymore!","2004-11-16 19:05:38","2001-07-25 10:42:19"
6816,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","build-unix.sh doesn't work on most standard Unixes","2004-11-16 19:05:38","2002-03-02 18:03:06"
7026,"Tomcat 3","Config","dev","CLOSED","LATER","AutoDeploy works bad","2004-11-16 19:05:38","2002-03-11 14:27:27"
10000,"Tomcat 3","Auth","dev","RESOLVED","LATER","IOException Broken Pipe when authenticating JDBCRealm MySQL db","2004-11-16 19:05:39","2002-06-19 13:10:42"
31800,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Memory Leak in Expirer.removeManagedObject (TimeStamp)","2004-11-16 19:05:46","2004-10-20 14:23:00"
6341,"Tomcat 3","Config","dev","RESOLVED","FIXED","tomcat dies on startup","2005-03-20 17:06:12","2002-02-09 10:16:23"
5684,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","WEB-INF/lib jar file loading and operations problems.","2005-03-20 17:06:12","2002-01-03 22:16:33"
6360,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","request.getSession(true) may return null","2005-03-20 17:06:12","2002-02-11 08:18:06"
6704,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","rmi client in jsp causes port down after large amount of requests","2005-03-20 17:06:12","2002-02-27 07:03:13"
2709,"Tomcat 3","Servlet","dev","RESOLVED","WORKSFORME","Cookie session management fails on session.invalidate() + request.getSession()","2004-11-16 19:05:38","2001-07-20 08:44:44"
2202,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","sendRedirect with enctype=""Multipart/form-data"" does not work","2004-11-16 19:05:38","2001-06-16 03:46:43"
3330,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","<%@include file= ""/semantic/src/script/HeadMenu.jsp"" %> does not work","2005-03-20 17:06:12","2001-08-28 22:37:41"
7024,"Tomcat 3","Config","dev","RESOLVED","WONTFIX","AutoWebApp Fail (404)","2004-11-16 19:05:38","2002-03-11 14:12:05"
2696,"Tomcat 3","Config","dev","RESOLVED","FIXED","load-on-startup tag in web.xml causes exception on startup","2004-11-16 19:05:38","2001-07-19 13:52:14"
3920,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","HttpSessionBindingListener partially working for session expiration","2004-11-16 19:05:38","2001-10-02 08:54:27"
3572,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","HttpSessionFacade.invalidate don't unbound Attributes","2004-11-16 19:05:38","2001-09-12 10:16:51"
6073,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Incorrect client IP passed to ServletRequest","2004-11-16 19:05:38","2002-01-28 18:21:23"
4948,"Tomcat 3","Servlet","dev","RESOLVED","WORKSFORME","Class.getPackage() returns null in classes loaded by webapp class loader","2004-11-16 19:05:38","2001-11-19 05:55:13"
6002,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Disabling tomcatAuthentication='false' for Ajp12Connector does not work","2004-11-16 19:05:38","2002-01-24 10:30:18"
1388,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","URLRewritting and Session Tracking with Apache and Tomcat with mod_jk","2004-11-16 19:05:38","2001-04-19 03:29:06"
5580,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","request.getRemoteAddr() and getRemoteHost() invalid","2004-11-16 19:05:38","2001-12-24 01:24:03"
6717,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Getting StringArrayOutOfBoundsException when trying to get client headers","2004-11-16 19:05:38","2002-02-27 13:22:29"
2539,"Tomcat 3","Jasper","dev","CLOSED","LATER","Unable to convert a String to java.lang.Object for attribute ...","2005-03-20 17:06:12","2001-07-10 08:37:57"
4114,"Tomcat 3","Unknown","dev","CLOSED","FIXED","examples app and java security manager.","2005-03-20 17:06:12","2001-10-11 23:20:26"
3745,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Http10Interceptor hangs on PUT without Content-Length","2005-03-20 17:06:12","2001-09-20 03:08:56"
6348,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","getNamedDispatcher() and JSP","2004-11-16 19:05:38","2002-02-10 10:56:14"
5449,"Tomcat 3","Connectors","dev","RESOLVED","DUPLICATE","ajp13 and security contraints don't work","2005-03-20 17:06:12","2001-12-16 15:27:42"
6462,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","request.getRemoteAddr() returns 127.0.0.1","2005-03-20 17:06:12","2002-02-14 12:39:51"
3333,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","request.getParameter('action') return only static page value not passing parameter","2005-03-20 17:06:12","2001-08-29 01:10:37"
4599,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Thread settings from server.xml ignored","2004-11-16 19:05:38","2001-11-02 10:41:25"
5746,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Settting an error page for the status code 500 doesn't display the page.","2005-03-20 17:06:12","2002-01-08 10:34:28"
2790,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","wrong file name for auto-generated mod_jk file","2004-11-16 19:05:38","2001-07-25 10:48:47"
1057,"Tomcat 3","Jasper","dev","CLOSED","LATER","Context Paths and numerals.","2004-11-16 19:05:38","2001-03-20 17:35:38"
6515,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","tomcat sets response headers in sub request","2004-11-16 19:05:38","2002-02-18 02:40:21"
2022,"Tomcat 3","Unknown","dev","CLOSED","LATER","java.lang.VerifyError...Illegal target of jump or branch","2004-11-16 19:05:38","2001-06-06 06:23:47"
5349,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","A nonfatal internal JIT (3.00.078(x)) error 'Relocation error","2005-03-20 17:06:12","2001-12-10 23:34:41"
1188,"Tomcat 3","Auth","dev","RESOLVED","FIXED","Form Authentication: Requesting a secured page directly results in null pointer exception","2004-11-16 19:05:38","2001-04-02 15:28:05"
3803,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Contexts with subdirectories fail to run","2005-03-20 17:06:12","2001-09-24 16:33:55"
