Bug ID,Product,Component,version,Opened
1048,Tomcat 3,Webapps,3.3,20-03-01 7:36
4313,Tomcat 3,Config,3.3,21-10-01 6:04
4365,Tomcat 3,Connectors,3.3,23-10-01 6:14
4382,Tomcat 3,Config,3.3,23-10-01 17:10
4416,Tomcat 3,Encoding,3.3,25-10-01 6:31
4436,Tomcat 3,Encoding,3.3,25-10-01 18:20
4564,Tomcat 3,Unknown,3.3,01-11-01 7:50
4598,Tomcat 3,Servlet,3.3,02-11-01 10:08
4599,Tomcat 3,Connectors,3.3,02-11-01 10:41
4600,Tomcat 3,Servlet,3.3,02-11-01 10:52
4826,Tomcat 3,Config,3.3,13-11-01 1:36
4919,Tomcat 3,Jasper,3.3,16-11-01 4:52
4923,Tomcat 3,Unknown,3.3,16-11-01 6:01
4948,Tomcat 3,Servlet,3.3,19-11-01 5:55
4955,Tomcat 3,Unknown,3.3,19-11-01 15:27
4967,Tomcat 3,Config,3.3,20-11-01 3:42
4975,Tomcat 3,Unknown,3.3,20-11-01 6:42
5005,Tomcat 3,Jasper,3.3,21-11-01 8:49
5030,Tomcat 3,Connectors,3.3,22-11-01 4:32
5132,Tomcat 3,Servlet,3.3,27-11-01 8:08
5246,Tomcat 3,Jasper,3.3,03-12-01 10:54
5250,Tomcat 3,Connectors,3.3,03-12-01 13:49
5252,Tomcat 3,Jasper,3.3,03-12-01 14:38
5257,Tomcat 3,Unknown,3.3,03-12-01 16:47
5265,Tomcat 3,Auth,3.3,04-12-01 6:56
5314,Tomcat 3,Config,3.3,07-12-01 5:42
5349,Tomcat 3,Unknown,3.3,10-12-01 23:34
5365,Tomcat 3,Unknown,3.3,11-12-01 12:40
5376,Tomcat 3,Connectors,3.3,12-12-01 5:51
5390,Tomcat 3,Webapps,3.3,12-12-01 12:09
5411,Tomcat 3,Jasper,3.3,13-12-01 8:03
5449,Tomcat 3,Connectors,3.3,16-12-01 15:27
5463,Tomcat 3,Config,3.3,17-12-01 13:27
5479,Tomcat 3,Webapps,3.3,18-12-01 2:47
5531,Tomcat 3,Connectors,3.3,20-12-01 3:07
5532,Tomcat 3,Webapps,3.3,20-12-01 3:11
5560,Tomcat 3,Jasper,3.3,21-12-01 10:49
5561,Tomcat 3,Servlet,3.3,21-12-01 10:56
5580,Tomcat 3,Servlet,3.3,24-12-01 1:24
5722,Tomcat 3,Webapps,3.3,07-01-02 10:16
5746,Tomcat 3,Servlet,3.3,08-01-02 10:34
5769,Tomcat 3,Unknown,3.3,09-01-02 12:11
5773,Tomcat 3,Config,3.3,09-01-02 17:12
5860,Tomcat 3,Webapps,3.3,15-01-02 4:25
5868,Tomcat 3,Unknown,3.3,15-01-02 8:43
5958,Tomcat 3,Webapps,3.3,22-01-02 16:08
5983,Tomcat 3,Servlet,3.3,23-01-02 16:40
5994,Tomcat 3,Unknown,3.3,23-01-02 23:21
6000,Tomcat 3,Servlet,3.3,24-01-02 7:47
6004,Tomcat 3,Config,3.3,24-01-02 11:24
6073,Tomcat 3,Unknown,3.3,28-01-02 18:21
6088,Tomcat 3,Jasper,3.3,29-01-02 8:38
6137,Tomcat 3,Webapps,3.3,30-01-02 22:18
6139,Tomcat 3,Webapps,3.3,30-01-02 23:49
6214,Tomcat 3,Config,3.3,04-02-02 10:36
6215,Tomcat 3,Servlet,3.3,04-02-02 11:20
6234,Tomcat 3,Servlet,3.3,04-02-02 23:07
6300,Tomcat 3,Unknown,3.3,07-02-02 9:21
6341,Tomcat 3,Config,3.3,09-02-02 10:16
6355,Tomcat 3,Servlet,3.3,11-02-02 5:18
6360,Tomcat 3,Servlet,3.3,11-02-02 8:18
6369,Tomcat 3,Unknown,3.3,11-02-02 16:17
6448,Tomcat 3,Config,3.3,14-02-02 5:35
6462,Tomcat 3,Servlet,3.3,14-02-02 12:39
6488,Tomcat 3,Servlet,3.3,15-02-02 13:10
6515,Tomcat 3,Unknown,3.3,18-02-02 2:40
6518,Tomcat 3,Jasper,3.3,18-02-02 7:04
6557,Tomcat 3,Connectors,3.3,19-02-02 18:26
6616,Tomcat 3,Unknown,3.3,21-02-02 16:29
6704,Tomcat 3,Jasper,3.3,27-02-02 7:03
6717,Tomcat 3,Unknown,3.3,27-02-02 13:22
6723,Tomcat 3,Unknown,3.3,27-02-02 16:12
6816,Tomcat 3,Unknown,3.3,02-03-02 18:03
6817,Tomcat 3,Unknown,3.3,02-03-02 18:04
7148,Tomcat 3,Jasper,3.3,15-03-02 11:23
7762,Tomcat 3,Config,3.3,05-04-02 13:17
7794,Tomcat 3,Unknown,3.3,06-04-02 15:10
7904,Tomcat 3,Jasper,3.3,10-04-02 2:17
8154,Tomcat 3,Config,3.3,16-04-02 9:34
9362,Tomcat 3,Jasper,3.3,23-05-02 18:20
9772,Tomcat 3,Servlet,3.3,11-06-02 13:22
10000,Tomcat 3,Auth,3.3,19-06-02 13:10
10321,Tomcat 3,Encoding,3.3,28-06-02 13:14
11584,Tomcat 3,Unknown,3.3,09-08-02 9:37
23316,Tomcat 3,Auth,3.3,22-09-03 4:55
24998,Tomcat 3,Unknown,3.3,26-11-03 1:14
